t,product_id,product_name,tx_units,open_orders,backlog_units,shock_severity
45,19,product19,232.0,21,0.0,0.0
45,20,product20,5875.0,44,0.0,0.0
45,21,product21,5179.0,46,0.0,0.0
45,22,product22,786.0,32,0.0,0.0
45,23,product23,2746.0,63,0.0,0.0
45,24,product24,2889.0,190,0.0,0.0
45,25,product25,545.0,88,0.0,0.0
45,26,product26,20.0,57,0.0,0.0
45,27,product27,250.0,48,0.0,0.0
45,28,product28,1938.0,136,0.0,0.0
45,29,product29,345.0,51,0.0,0.0
45,30,product30,66.0,20,0.0,0.0
45,31,product31,80.0,38,0.0,0.0
45,32,product32,1683.0,211,0.0,0.0
45,33,product33,340.0,92,0.0,0.0
45,34,product34,87.0,134,0.0,0.0
45,35,product35,0.0,62,93.0,0.0
45,36,product36,0.0,139,296.0,0.0
45,37,product37,22.0,243,0.0,0.0
45,38,product38,2.0,16,0.0,0.0
45,39,product39,0.0,87,0.0,0.0
45,40,product40,102.0,239,0.0,0.0
45,41,product41,94.0,115,0.0,0.0
45,42,product42,234.0,201,0.0,0.0
45,43,product43,0.0,114,0.0,0.0
45,44,product44,4.0,166,0.0,0.0
45,45,product45,0.0,213,639.0,0.0
45,46,product46,0.0,107,161.0,0.0
45,47,product47,0.0,148,238.0,0.0
45,48,product48,0.0,159,463.0,0.0
45,49,product49,0.0,293,451.0,0.0
46,0,product0,129252.0,22,0.0,0.00058
46,1,product1,180530.0,16,0.0,0.000695
46,2,product2,280248.0,19,0.0,0.000638
46,3,product3,98611.0,15,0.0,0.001052
46,4,product4,27768.0,8,0.0,0.191923
46,5,product5,7582.0,33,0.0,0.0
46,6,product6,592.0,8,0.0,0.0
46,7,product7,23921.0,44,0.0,0.0
46,8,product8,14.0,6,0.0,0.0
46,9,product9,1424.0,18,0.0,0.0
46,10,product10,624.0,10,0.0,0.0
46,11,product11,12369.0,63,0.0,0.0
46,12,product12,20957.0,56,0.0,0.0
46,13,product13,10.0,24,0.0,0.0
46,14,product14,50404.0,56,0.0,0.0
46,15,product15,0.0,15,16.0,0.0
46,16,product16,1660.0,7,0.0,0.0
46,17,product17,0.0,26,42.0,0.0
46,18,product18,5723.0,65,0.0,0.0
46,19,product19,360.0,21,0.0,0.0
46,20,product20,6962.0,41,0.0,0.0
46,21,product21,8286.0,47,0.0,0.0
46,22,product22,832.0,30,0.0,0.0
46,23,product23,2654.0,66,0.0,0.0
46,24,product24,13487.0,175,0.0,0.0
46,25,product25,321.0,89,0.0,0.0
